App_name,Category,User_Review,Sentiments,Review_Type
brainly,Education,Not working properly plz fix the problem,Negative,AC
brainly,Education,"App is not good, stuck in between",Negative,AC
brainly,Education,not working properly,Negative,AC
brainly,Education,app is not working,Negative,AC
brainly,Education,this app will be not started some issue,Negative,AC
brainly,Education,so many issues,Negative,AC
brainly,Education,app is troubling,Negative,AC
brainly,Education,Its annoying,Negative,AC
brainly,Education,not working properly,Negative,AC
brainly,Education, it shows brainly not responding.,Negative,AC
brainly,Education,not working in all platform sychronously,Negative,AC
brainly,Education,App is not good,Negative,AC
brainly,Education, it saying NO CONNECTION! pls fix this I need thiss.,Negative,AC
brainly,Education,App is frustrating,Negative,AC
brainly,Education,"it is gettingworse day by day , cannot directly open link with browser to app,not able to change email , not able change the language of voice connect , not getting rank promotion, difficulty in answering question",Negative,AC
brainly,Education,Something went wrong please try again,Negative,AC
brainly,Education,This helps me alot. But why can not i use it now  It say No internet access But i have a good connection.,Negative,AC
brainly,Education,"include some more excited features, not interesting features",Negative,AC
brainly,Education,Press Scan And Solve its Crashing sometimes and its Full Of White FOW,Negative,AC
brainly,Education,"The problem have to fix, not perform accurately",Negative,AC
brainly,Education,App is not working,Negative,AC
brainly,Education,Some times it has error,Negative,AC
brainly,Education,I had a little trouble with it,Negative,AC
brainly,Education,I cant see the answer,Negative,AC
brainly,Education,"It will be help at times but for other times, you have to pay to get the answer. It is very annoying.",Negative,AC
brainly,Education,I donot like this app not working ,Negative,AC
brainly,Education,"I don't know what's goin' on today everytime I open my Brainly app it always say that ""seem like that theres a connection problem"" but my internet is ok it's in high speed please fix this update 
",Negative,AC
brainly,Education,"Would've like to rate it higher but it just randomly stopped working, started saying connection error whenever i got on the app, i've tried it on wifi, data, deleted the app, redownloaded it, can't get it to work
",Negative,AC
brainly,Education,"my brainly app is not working. It says there is connection problem, but when I open other apps they works fast. Please see the problem.
",Negative,AC
